id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
71569,94024,beatmania IIDX 8th style,NULL,2002-09-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71578,49773,Oshare Princess,NULL,2002-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71735,49662,Little Buster Q,NULL,2002-12-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71797,47334,MLB Slugfest 2003,NULL,2002-07-23 00:00:00.000,NULL,NULL,NULL,NULL,53.0000,0
71986,49235,Medabots: Rokusho Version,NULL,2002-07-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72126,73706,Blue Sky: Acceptable Casualties,NULL,2002-11-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72826,49750,Natural 2: Duo,NULL,2002-07-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73011,9656,Everblue 2,"Following their last expedition off the coast of Daedalus island, Leo and his friend Zucco travel to the Caribbean in search of new and exciting adventures beneath the crystal blue sea. Throughout the game Leo must scour the coral reef, play with dolphins, evade great white sharks and explore sunken pirate ships avoiding booby traps that have lain untouched for hundreds of years.",2002-08-08 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
73048,71625,Dino Island,NULL,2002-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
73162,49327,Maya the Bee: The Great Adventure,NULL,2002-07-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73865,64388,Valhalla Chronicles,NULL,2002-06-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73907,126145,Kochonland,NULL,2002-10-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74003,75115,The Great War: 1914,NULL,2002-08-09 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,0
74009,61327,Yamasa Digi World 3,NULL,2002-07-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74048,92677,Korokoro Post Nin,NULL,2002-10-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74387,75746,One Piece: Treasure Battle!,NULL,2002-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74869,125206,First Kiss Story II,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75248,49689,Metalgun Slinger,NULL,2002-10-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75425,47070,Crazy Chicken Kart XXL,NULL,2002-12-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
75562,80746,Hajime no Ippo: The Fighting!,NULL,2002-12-13 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
75601,140999,Radio Zonde,NULL,2002-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
75617,45171,Barbie Software: Groovy Games,NULL,2002-10-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75881,1847,Rainbow Six: Lone Wolf,NULL,2002-08-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76308,49202,Disney's Treasure Planet,NULL,2002-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76503,49575,Formation Soccer 2002,NULL,2002-06-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76650,146186,pop-pop,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
76812,6412,Frogger Advance: The Great Quest,NULL,2002-05-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77024,49541,Dan Doh!! Xi,NULL,2002-12-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77431,124418,Garfield's Scary Scavenger Hunt,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77651,6199,The Thing,NULL,2002-08-20 00:00:00.000,11,NULL,68.5000,3,73.2775,39
77665,23764,Earth and Beyond,NULL,2002-09-23 00:00:00.000,NULL,NULL,69.5000,2,NULL,NULL
77947,49535,Beast Shooter: Mezase Beast King,NULL,2002-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
77976,26832,Black Shades,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78203,49437,Ballistic: Ecks Vs. Sever 2,NULL,2002-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78403,49611,Gambler Densetsu Tetsuya: Yomigaeru Densetsu,NULL,2002-08-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78625,134753,Atomica,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78683,47358,NBA Inside Drive 2003,NULL,2002-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78759,75748,One Piece: Treasure Wars 2 Welcome to Buggyland,The story is loosely based upon the East Blue Saga. The Straw Hat Pirates challenge Buggy and his crew to a race in order to find the treasure.,2002-12-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78984,49587,Hamster Paradise: Advanchu,NULL,2002-08-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
78999,5921,Mary-Kate & Ashley: Sweet 16 - Licensed To Drive,NULL,2002-11-26 00:00:00.000,1,NULL,NULL,NULL,33.0000,0
79221,49613,J.League Winning Eleven Advance 2002,NULL,2002-11-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79356,56528,Scan Hunter: Sennen Kaigyo o Oe!,NULL,2002-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79682,59564,ATF: Armored Task Force,NULL,2002-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79772,49753,Nakayoshi Youchien,NULL,2002-11-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79784,76605,Extreme Warfare Revenge,NULL,2002-06-15 00:00:00.000,4,NULL,NULL,NULL,NULL,NULL
80087,49768,Pinobee & Phoebee,NULL,2002-07-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80630,49792,Samurai Evolution: Oukoku Geist,NULL,2002-10-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80642,49788,Scan Hunter,NULL,2002-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81042,167121,Tenshi Na Konamaiki,NULL,2002-09-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81528,68881,Snowboard Park Tycoon,NULL,2002-08-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81797,136875,Sega Smash Pack,NULL,2002-09-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81914,125180,Legion Gold,NULL,2002-06-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82420,33967,Higurashi When They Cry: Onikakushi,"The 58th year of Shouwa, early summer
It’s June, and the summer heat has arrived earlier than it does most years.
By day there are crickets, and by night there are cicadas.

We’re in Hinamizawa, a small village in the countryside.
There are fewer than two thousand people here. But every year, there is an event.

This event is a mysterious death.
(The series has run from 1979 to 1983)

On a certain day in June, someone dies, and someone else goes missing.
The series of deaths is connected to the upheaval surrounding the dam construction project.
A murder case that was covered up is being reenacted.
Is it a conspiracy? A coincidence? Or perhaps a curse?

Someone who was supposed to be there isn’t.
Someone who wasn’t supposed to be there is.

Someone who was alive last night is dead now.
And someone who is here right now isn’t alive.

So, there is no way to avert tragedy. There is no choice but to give up.
But don’t give up.

Only you can stand up to this.",2002-08-10 00:00:00.000,2,NULL,NULL,NULL,70.4578,6
82510,70346,Rugrats Munchin Land,NULL,2002-09-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
82869,49500,Gachasute! Dino Device - Blue,NULL,2002-08-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83458,7592,Space Rangers,NULL,2002-12-20 00:00:00.000,5,NULL,90.0000,1,86.3240,15
83648,6395,Droopy's Tennis Open,NULL,2002-08-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
83815,4016,Monopoly Party,NULL,2002-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84035,47307,AFL Live 2003,NULL,2002-12-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
84064,49562,Galaxy Angel Game Boy Advance: Moridakusan Tenshi no Full Course Okawari Jiyuu,NULL,2002-10-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
